target_id,review_type,reason
phc:wonju,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phb:munmak,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phb:socho,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phb:jijeong,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phb:buro,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phb:gwichang,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phb:heungeop,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phb:panjeon,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phb:sillim,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phc:bi-do,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phc:seongok,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phc:gosan,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phc:taejang,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phc:munmak,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phc:haenggu,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phc:saje,insufficient_evidence,No explicit target-linked operating time in collected HTML.
phc:yangdong,insufficient_evidence,No explicit target-linked operating time in collected HTML.
hls:namwonju,insufficient_evidence,No explicit target-linked operating time in collected HTML.
hls:namwonju-annex,insufficient_evidence,No explicit target-linked operating time in collected HTML.
hls:seowonju,insufficient_evidence,No explicit target-linked operating time in collected HTML.
mh:addiction,insufficient_evidence,No explicit target-linked operating time in collected HTML.
mh:byeoljari,insufficient_evidence,No explicit target-linked operating time in collected HTML.
